"radio_name","radio_url","radio_city","radio_country","radio_tags","mp3_bitrate","mp3_url","aac_bitrate","aac_url"
"88.4 The Cheese","http://www.thecheese.co.nz/","Wellington","New Zealand","80s/90s/today",,,64,"http://203.97.214.251:8000/listen.pls"
"89 Rainbow","http://www.89rainbow.gr/","Thessaloniki","Greece","Rock",24,"http://rainbow.serverroom.us:7340/listen.pls",,
"89.0 RTL","http://www.89.0rtl.de/","Halle","Germany","Top 40",128,"http://mp3.89.0rtl.de/listen.pls",,
"90.2 Aristera sta FM","http://www.902.gr/","Athens","Greece","Leftist news/talk, music",128,"http://gvasil.linuxd.org:8000/902.m3u",,
"90.9 Jazzy","http://www.jazzy.hu/","Budapest","Hungary","Jazz",160,"http://www.sztarnet.hu/Jazzy/online_3.m3u",,
"917xfm","http://www.917xfm.de/","Hamburg","Germany","Indie, Alternative, Electro and Jazz",128,"http://live96.917xfm.de/listen.pls",,
"92.2 More FM","http://www.morefm.co.nz/","Palmerston North","New Zealand","Hot Adult Contemporary",64,"http://boombox.inspire.net.nz:8020/listen.pls",,
"92.9 Party FM","http://www.92.9partyfm.hu/","Kiskunhalason","Hungary","Dance / Techno",96,"http://www.sztarnet.hu:9034/listen.pls",,
"92.9 Radio Mülheim","http://www.92.9radiomuelheim.de/","Mülheim","Germany","Hot Adult Contemporary",128,"http://edge.live.mp3.mdn.newmedia.nacamar.net/ps-radiomuelheim/livestream.mp3.m3u",,
"94,5 Radio Cottbus","http://www.radio-cottbus.de/","Cottbus","Germany","Top 40",,,64,"http://stream.telvi.de:8000/radio_cottbus.m3u"
"95bFM","http://www.95bfm.co.nz/","Auckland","New Zealand","Variety",32,"http://www.95bfm.com/bfm32.m3u",,
"96.2 The Revolution","http://www.therevolution962.com/","Oldham","United Kingdom","Current/classic hits",64,"http://95.131.65.13:8004/listen.pls",,
"96.2 Touch FM","http://www.962touchfm.co.uk/","Coventry","United Kingdom","Current/Classic Hits",64,"http://icy-e-03.sharp-stream.com/962touchfm.mp3.m3u",,
"96.4 Eagle Radio","http://www.964eagle.co.uk/","Guildford","United Kingdom","Top 40",128,"http://str1.sad.ukrd.com/eagle.m3u",,
"96.4FM The Wave","http://www.thewave.co.uk/","Swansea","United Kingdom","Current/Classic Hits",32,"http://stream1.radiomonitor.com/Wave-Swansea.m3u",,
"96.7 Ashbourne Radio","http://www.ashbourneradio.co.uk/","Ashbourne","United Kingdom","Current/Classic Hits",96,"http://listen2.onmyradio.net:8024/listen.pls",,
"97.2 Stray FM","http://www.strayfm.com/","Harrogate","United Kingdom","Current/Classic Hits",128,"http://str1.sad.ukrd.com/stray.m3u",,
"97.4 Rock FM","http://www.rockfm.co.uk/","Preston","United Kingdom","Top 40",112,"http://tx.whatson.com/icecast.php?i=rock.mp3.m3u",48,"http://tx.whatson.com/icecast.php?i=rock.aac.m3u"
"97.5 Kemet FM","http://www.975kemetfm.co.uk/","Nottingham","United Kingdom","Afro Caribbean Community radio",128,"http://38.96.148.182:7458/listen.pls",,
"97.7 XFM","http://www.xfmmanchester.co.uk/","Manchester","United Kingdom","Alternative",48,"http://media-ice.musicradio.com/XFMManchester.m3u",,
"97.9 FM Das SoundPortal","http://www.979fm.at/","Graz","Austria","Alternative",64,"http://netradio02.soundportal.at:8000/listen.pls",,
"98 FM","http://www.radio98fm.org/","Athens","Greece","Free radio",128,"http://98fm.ath.cx:8000/live128.m3u",,
"98.3 Superfly","http://www.superfly.fm/","Vienna","Austria","Soul/Black music",64,"http://89.207.144.68:8080/live.m3u",,
"98FM","http://www.98fm.ie/","Dublin","Ireland","Hot Adult Contemporary",128,"http://dublins98.fmstreams.com:8000/listen.pls",,
"99.9 Radio Norwich","http://www.999radionorwich.com/","Norwich","United Kingdom","Current/Classic Hits",56,"http://sharpflow.sharp-stream.com:8000/tindlenorwich.mp3.m3u",,
"Aalburg FM","http://www.aalburgfm.nl/","Aalburg","Netherlands","Local service",160,"http://109.236.81.190:8012/listen.pls",,
"AB Radio","http://www.abradio.nl/","Boemendaal","Netherlands","Local service",128,"http://stream.click2.nl:8058/listen.pls",,
"ABC Radio Australia","http://www.radioaustralia.net.au/","Melbourne","Australia","Overseas service (English for Pacific)",,,48,"http://shoutmedia.abc.net.au:10342/listen.pls"
"Absolut Radio","http://www.absolutradio.de/","Nürnberg","Germany","Album rock",128,"http://stream.hoerradar.de/absolutradio-mp3.m3u",,
"Absolute 00s","http://www.absoluteradio00s.co.uk/","London","United Kingdom","00s music",128,"http://mp3-a0-128.as34763.net/listen.pls",32,"http://aacplus-a0-48.as34763.net/listen.pls"
"Absolute 80s","http://www.absolute80s.co.uk/","London","United Kingdom","Oldies/80s/90s",128,"http://mp3-a8-128.as34763.net/listen.pls",32,"http://aacplus-a8-48.as34763.net/listen.pls"
"Absolute 90s","http://www.absoluteradio90s.co.uk/","London","United Kingdom","Oldies/80s/90s",128,"http://mp3-a9-128.as34763.net/listen.pls",32,"http://aacplus-a9-48.as34763.net/listen.pls"
"Absolute Classic Rock","http://www.absoluteclassicrock.co.uk/","London","United Kingdom","Rock/Classic Rock",128,"http://mp3-vc-128.as34763.net/listen.pls",32,"http://aacplus-ac-48.as34763.net/listen.pls"
"Absolute Radio","http://www.absoluteradio.co.uk/","London","United Kingdom","Hot Adult Contemporary",32,"http://mp3-live-a1.ginger.com/listen.pls",128,"http://mp3-vr-128.as34763.net/listen.pls"
"Absolute Radio 60s","http://www.absoluteradio60s.co.uk/","London","United Kingdom","60s music",192,"http://mp3-a6-192.as34763.net/listen.pls",,
"Absolute Radio 70s","http://www.absoluteradio70s.co.uk/","London","United Kingdom","70s music",192,"http://mp3-a7-192.as34763.net/listen.pls",,
"Accent 4","http://www.accent4.com/","Strasbourg","France","Classical",,,128,"http://players.creacast.com/creacast/accent4/playlist.pls"
"Accent FM","http://www.accentfm.com/","Haaltert","Belgium","Current/Classic Hits",128,"http://audiostreamen.nl:8036/listen.pls",32,"http://audiostreamen.nl:8032/listen.pls"
"Ace FM","http://www.acefm.info/","Alhaurin El Grande","Spain","Current/Classic Hits (in English)",112,"http://75.126.64.105:8000/listen.pls",,
"Achterhoek FM","http://www.achterhoekfm.nl/","Lochem","Netherlands","Local service",128,"http://icecast.streamone.nl/h7MniPPz5a.m3u",,
"Activ EFEM","http://www.activefem.ro/","Bucharest","Romania","Pop",128,"http://radio.power2stream.com:8000/activefem.mp3.m3u",,
"Activ Radio","http://www.activradio.com","Montbrison","France","Top 40",160,"http://www.activradio.com/component/popupStream/ShoutcastHD.m3u",,
"Activa FM","http://www.activafm.es/","Marina Alta","Spain","Pop",128,"http://stream2.beatproducciones.com:8012/listen.pls",,
"AD Radio","http://www.andorra7.net/","Andorra la Vella","Andorra","Adult contemporary",56,"http://194.158.88.56:8008/listen.pls",,
"Ado FM","http://www.adofm.fr/","Paris","France","RnB/HipHop",128,"http://broadcast.infomaniak.ch/start-adofm-high.mp3.m3u",,
"Africa No.1","http://www.africa1.com/","Paris","France","African news/info/music",56,"http://213.251.129.44:8000/a1.m3u",,
"Agora FM","http://www.agorafm.com/","Montpellier","France","RnB/HipHop",128,"http://stream-input.live.tv-radio.com:9318/listen.pls",,
"Airplay Radio","http://www.airplayradio.nl/","Wijhe","Netherlands","Local service",,,96,"http://www.airplayradio.nl/64k.pls"
"Akademickie Radio LUZ","http://www.radioluz.pwr.wroc.pl/","Wrocław","Poland","None",128,"http://radioluz.pwr.wroc.pl/listen.pls",64,"http://radioluz.pwr.wroc.pl/luz.pls"
"Aktina Radio","http://aktinaradio.fm/","Corfu","Greece","Top 40",128,"http://www.streamwithq.gr/clients/Radio_Aktina/playlist.pls",,
"Aktina Radio","http://www.aktinaradio.gr/","Korinthos","Greece","International Hits/Dance",64,"http://live.e-streaming.eu:8110/listen.pls",,
"Aktív Rádió","http://www.aktivradio.hu/","Szolnok","Hungary","Top 40",,,96,"http://www.aktivradio.hu/media/aktivuj.pls"
"Albrandswaard FM","http://albrandswaardtv.nl/","Albrandswaard","Netherlands","Local service",128,"http://85.17.224.132:8480/listen.pls",,
"Alfa dhe Omega Radio","http://www.alfaeomegaradio.com/","Tirana","Albania","Christian",128,"http://uk3-pn.mixstream.net:8102/listen.pls",,
"Alisca Rádió","http://www.alisca.hu/","Szekszárd","Hungary","Local service",96,"http://online.alisca.hu:8000/alisca.mp3.m3u",,
"Alise +","http://www.aliseplus.lv/","Daugavpils","Latvia","Top 40 (Russian)",64,"http://fm2inet.aliseplus.lv:8000/listen.pls",,
"Alive Radio","http://www.aliveradio.net/","Dumfries","United Kingdom","Community radio",128,"http://173.208.250.139:8002/listen.pls",,
"ALL FM","http://www.allfm.org/","Longsight","United Kingdom","Community radio",96,"http://icecast.commedia.org.uk:8000/allfm.mp3.m3u",,
"Alouette","http://www.alouette.fr/","Les Herbiers","France","Adult Contemporary",128,"http://www.alouette.fr/alouette.m3u",64,"http://www.alouette.fr/alouette_aac.m3u"
"Alpes 1 Gap","http://www.alpes1.com/","Gap","France","Local service",128,"http://broadcast.infomaniak.ch/alpes1gap-high.mp3.m3u",,
"Alpes 1 Grenoble","http://www.alpes1.com/","Grenoble","France","Local service",128,"http://broadcast.infomaniak.ch/alpes1grenoble-high.mp3.m3u",,
"Alpha Radio","http://www.alpha.by/","Minsk","Belarus","Top 40",128,"http://86.57.151.4:8009/listen.pls",,
